product_id,product_name,sku,stock,price,category_name,extracted_supplier
475,GOTERO PC JUNIOR CNL 4 L/H SAL. DENTADA CONICA + DISTRIBUIDOR DE 2 SALIDAS 5 MM-FLAT GRIS NETAFIM (Inders),GOTERO-PC-JUNIOR-CNL-4-LH-SAL-DENTADA-CONICA-DISTR,21,3.92,Equipos de Riego,Inders
459,MALLASOMBRA 50% NEGRA 3.6X100M (POPUSA),MALLASOMBRA-50-NEGRA-36X100M-POPUSA-1,21,39.57,,POPUSA
390,"Abrazadera Armada Galv Cal. 12 de 1 1/4 x 1 3/4 "" (Doña Paula)(03)",ABRAZADERA-ARMADA-GALV-CAL-12-DE-1-14-X-1-34-DOÑA-,19,22.62,,03
441,PEAT MOSS PACA LAMBERT BLACKBALE DE 3.8PC (INSUMO FORESTAL),PEAT-MOSS-PACA-LAMBERT-BLACKBALE-DE-38PC-INSUMO-FO,19,37.93,,INSUMO FORESTAL
575,TORNILLO 5/16 X 8 CM CON DOBLE GUASA Y TUERCA,TORNILLO-516-X-8-CM-CON-DOBLE-GUASA-Y-TUERCA,19,,,
602,TUBOS METALICOS CON ORIFICIO EN MEDIO,TUBOS-METALICOS-CON-ORIFICIO-EN-MEDIO,18,,,
394,"Abrazadera Armada Galv Cal. 12 de 1 3/4 x 2 "" (Doña Paula)(07)",ABRAZADERA-ARMADA-GALV-CAL-12-DE-1-34-X-2-DOÑA-PAU,17,22.62,,07
523,Estaca PLASTICA 33 cm para serie R y WR (Riego de l Norte),ESTACA-PLASTICA-33-CM-PARA-SERIE-R-Y-WR-RIEGO-DE-L,17,6.69,,Riego de l Norte
392,"Abrazadera Armada Galv Cal. 12 de 1 1/2 x 1 3/4 "" (Doña Paula)(05)",ABRAZADERA-ARMADA-GALV-CAL-12-DE-1-12-X-1-34-DOÑA-,16,22.62,,05
483,NETAFIM ARMADO DE 30 CM MICRO ASPERSOR  90 LPH NARANJA POR ESCATA  1M,NETAFIM-ARMADO-DE-30-CM-MICRO-ASPERSOR-90-LPH-NARA,16,30.00,Equipos de Riego,
383,TRAMPA INDIVIDUALES AMARILLAS(POPUSA),TRAMPA-INDIVIDUALES-AMARILLASPOPUSA-1,16,5.65,,POPUSA
372,TRAMPA INDIVIDUALES AMARILLAS(POPUSA),TRAMPA-INDIVIDUALES-AMARILLASPOPUSA,16,5.65,Nutricion y Proteccion Vegetal,POPUSA
443,CHAROLA FORRAJERA ALTA RESISITENCIA CAL 1 MM (POPUSA) FORRAJERA,CHAROLA-FORRAJERA-ALTA-RESISITENCIA-CAL-1-MM-POPUS,14,36.69,Insumos para Propagacion,POPUSA
589,CLAVIJA OJILLO 12-10,CLAVIJA-OJILLO-12-10,14,27.00,,
442,HIDROGEL  SACO 25 KG (INSUMO FORESTAL),HIDROGEL-SACO-25-KG-INSUMO-FORESTAL,14,97.08,,INSUMO FORESTAL
393,"Abrazadera Armada Galv Cal. 12 de 1 1/2 x 2 "" (Doña Paula)(06)",ABRAZADERA-ARMADA-GALV-CAL-12-DE-1-12-X-2-DOÑA-PAU,13,45.24,,06
601,GLANDULAS PRENSA CABLES,GLANDULAS-PRENSA-CABLES,13,,,
